year,VClass,comb08,cylinders,displ,drive,fuelType,trany
1984,Special Purpose Vehicles,15,4.0,2.0,2-Wheel Drive,Regular,Manual 4-spd
1984,Standard Pickup Trucks 4WD,14,6.0,4.1,4-Wheel or All-Wheel Drive,Regular,Manual 4-spd
1984,Special Purpose Vehicle 4WD,18,6.0,4.2,4-Wheel or All-Wheel Drive,Regular,Manual 5-spd
1984,Standard Pickup Trucks 4WD,15,6.0,4.1,4-Wheel or All-Wheel Drive,Regular,Automatic 4-spd
1984,Standard Pickup Trucks 2WD,21,4.0,2.4,2-Wheel Drive,Regular,Manual 5-spd
1984,Standard Pickup Trucks 2WD,20,4.0,2.4,2-Wheel Drive,Regular,Automatic 4-spd
1984,Standard Pickup Trucks 2WD,21,4.0,2.4,2-Wheel Drive,Regular,Manual 5-spd
1984,Special Purpose Vehicle 4WD,20,4.0,2.5,4-Wheel or All-Wheel Drive,Regular,Manual 4-spd
1984,Standard Pickup Trucks 2WD,24,4.0,2.4,2-Wheel Drive,Regular,Manual 4-spd
1984,Standard Pickup Trucks 2WD,19,4.0,2.4,2-Wheel Drive,Regular,Automatic 4-spd
1984,Standard Pickup Trucks 2WD,13,8.0,5.0,2-Wheel Drive,Regular,Manual 4-spd
1984,Standard Pickup Trucks 2WD,14,8.0,5.0,2-Wheel Drive,Regular,Automatic 4-spd
1984,Standard Pickup Trucks 2WD,14,6.0,4.1,2-Wheel Drive,Regular,Automatic 4-spd
1984,Special Purpose Vehicle 4WD,17,6.0,4.2,4-Wheel or All-Wheel Drive,Regular,Automatic 3-spd
1984,Special Purpose Vehicle 4WD,17,6.0,4.2,4-Wheel or All-Wheel Drive,Regular,Manual 4-spd
1984,Standard Pickup Trucks 2WD,16,8.0,5.0,2-Wheel Drive,Regular,Manual 4-spd
1984,Standard Pickup Trucks 2WD,15,8.0,5.0,2-Wheel Drive,Regular,Manual 3-spd
1984,Special Purpose Vehicle 4WD,18,6.0,4.2,4-Wheel or All-Wheel Drive,Regular,Manual 5-spd
1984,Special Purpose Vehicle 4WD,17,6.0,4.2,4-Wheel or All-Wheel Drive,Regular,Manual 4-spd
1984,Standard Pickup Trucks 2WD,15,8.0,5.0,2-Wheel Drive,Regular,Automatic 4-spd
1984,Standard Pickup Trucks 4WD,14,6.0,4.1,4-Wheel or All-Wheel Drive,Regular,Manual 4-spd
1984,Standard Pickup Trucks 4WD,13,8.0,5.0,4-Wheel or All-Wheel Drive,Regular,Manual 4-spd
1984,Standard Pickup Trucks 4WD,11,8.0,5.2,4-Wheel or All-Wheel Drive,Regular,Automatic 3-spd
1984,Standard Pickup Trucks 4WD,11,8.0,5.2,4-Wheel or All-Wheel Drive,Regular,Manual 4-spd
1984,Standard Pickup Trucks 4WD,11,8.0,5.2,4-Wheel or All-Wheel Drive,Regular,Automatic 3-spd
1984,Standard Pickup Trucks 4WD,14,6.0,3.7,4-Wheel or All-Wheel Drive,Regular,Manual 4-spd
